recolhas,zmax,fracao_no_teto,dentro,agentes_dentro,travessias,travessias_teto,agentes_atravessam,agentes_presos,campanha,algo,cenario,run,modelo,sha1,seed,erro
64,14.82,0.868,230,17,22,22,17,0,final_7d,GNN,four_rooms,4.0,results/models/gnn_3d_best_four_rooms_run4.pth,adee7580a83d,2024,
65,14.81,0.876,298,20,26,26,18,2,final_7d,GNN,four_rooms,4.0,results/models/gnn_3d_best_four_rooms_run4.pth,adee7580a83d,2025,
61,14.82,0.874,217,16,17,17,14,2,final_7d,GNN,four_rooms,4.0,results/models/gnn_3d_best_four_rooms_run4.pth,adee7580a83d,2026,
72,4.98,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,5.0,results/models/gnn_3d_best_four_rooms_run5.pth,522a0721fe7f,2024,
74,3.03,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,5.0,results/models/gnn_3d_best_four_rooms_run5.pth,522a0721fe7f,2025,
85,3.67,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,5.0,results/models/gnn_3d_best_four_rooms_run5.pth,522a0721fe7f,2026,
87,8.25,0.0,0,0,0,0,0,0,final_7d,SAC,bottleneck,,results/models_sac/sac_3d_final_bottleneck.zip,4e106b6fb1fa,2024,
76,13.08,0.0,0,0,0,0,0,0,final_7d,SAC,bottleneck,,results/models_sac/sac_3d_final_bottleneck.zip,4e106b6fb1fa,2025,
69,10.6,0.0,0,0,0,0,0,0,final_7d,SAC,bottleneck,,results/models_sac/sac_3d_final_bottleneck.zip,4e106b6fb1fa,2026,
46,14.79,0.658,106,10,0,0,0,10,final_7d,GNN,four_rooms,6.0,results/models/gnn_3d_best_four_rooms_run6.pth,4fe9689a8034,2024,
38,14.79,0.36,111,11,1,0,1,10,final_7d,GNN,four_rooms,6.0,results/models/gnn_3d_best_four_rooms_run6.pth,4fe9689a8034,2025,
43,14.79,0.4,103,9,2,0,2,7,final_7d,GNN,four_rooms,6.0,results/models/gnn_3d_best_four_rooms_run6.pth,4fe9689a8034,2026,
73,5.58,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,7.0,results/models/gnn_3d_best_four_rooms_run7.pth,e109b08b9212,2024,
71,4.98,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,7.0,results/models/gnn_3d_best_four_rooms_run7.pth,e109b08b9212,2025,
80,5.51,0.0,0,0,0,0,0,0,final_7d,GNN,four_rooms,7.0,results/models/gnn_3d_best_four_rooms_run7.pth,e109b08b9212,2026,
72,0.64,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,,results/models/gnn_3d_best_cooperative_door.pth,2b7bca8beabc,2024,
72,3.47,0.0,0,0,0,0,0,0,final_7d,GNN,cooperative_door,,results/models/gnn_3d_best_cooperative_door.pth,2b7bca8beabc,2025,
